"blocktype" "S1 tone  " "s2 color  " "task 1 difficulty  " "low/high tone " "yellow/blue " "SOA" "Response time 1" "Response time 2" "status of response 1" "status of response 2"
2 "hi" "blue" "easy" 2 4 75 640 198 1 1
2 "lo" "blue" "easy" 1 4 600 1055 536 1 1
2 "hi" "blue" "easy" 2 4 600 1039 258 1 1
2 "lo" "yellow" "diff" 1 3 300 950 295 1 1
2 "lo" "yellow" "easy" 1 3 150 811 251 1 1
2 "lo" "yellow" "easy" 1 3 300 693 267 1 1
2 "lo" "blue" "easy" 1 4 75 564 306 1 1
2 "lo" "yellow" "easy" 1 3 75 547 319 1 1
2 "lo" "blue" "diff" 1 4 300 985 426 1 1
2 "lo" "blue" "diff" 1 4 150 670 261 1 1
2 "hi" "yellow" "diff" 2 3 75 1085 356 1 1
2 "lo" "yellow" "diff" 1 3 300 778 410 2 1
2 "lo" "yellow" "diff" 1 3 75 1572 318 1 1
2 "hi" "yellow" "diff" 2 3 150 1057 352 1 1
2 "hi" "blue" "diff" 2 4 300 817 177 1 1
2 "lo" "blue" "easy" 1 4 150 613 433 1 1
